ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
300661.SZ,2020-08-03,364.8,368.0,357.3,363.01,363.0,0.01,0.0028,24119.78,874559.933
300661.SZ,2020-08-04,361.96,375.68,357.0,362.6,363.01,-0.41,-0.1129,20395.86,743271.239
300661.SZ,2020-08-05,380.0,383.2,354.55,355.2,362.6,-7.4,-2.0408,25486.87,932096.795
300661.SZ,2020-08-06,351.03,359.0,341.44,351.3,355.2,-3.9,-1.098,22408.37,784320.478
300661.SZ,2020-08-07,351.0,359.7,327.63,334.36,351.3,-16.94,-4.8221,27016.51,921889.344
300661.SZ,2020-08-10,329.71,330.0,308.0,324.88,334.36,-9.48,-2.8353,29255.01,930707.772
300661.SZ,2020-08-11,318.99,328.3,314.99,319.58,324.88,-5.3,-1.6314,20283.29,655046.371
300661.SZ,2020-08-12,311.86,345.0,305.31,331.66,319.58,12.08,3.78,30613.73,990295.673
300661.SZ,2020-08-13,335.06,338.8,325.54,338.75,331.66,7.09,2.1377,22893.89,762096.914
300661.SZ,2020-08-14,336.6,348.58,335.0,346.0,338.75,7.25,2.1402,19736.1,677835.733
300661.SZ,2020-08-17,344.49,344.95,314.23,318.6,346.0,-27.4,-7.9191,36237.45,1167954.173
300661.SZ,2020-08-18,313.0,321.11,308.36,315.93,318.6,-2.67,-0.838,30312.44,954608.476
300661.SZ,2020-08-19,314.0,316.65,304.97,310.0,315.93,-5.93,-1.877,20947.26,649929.704
300661.SZ,2020-08-20,305.05,312.99,303.18,303.66,310.0,-6.34,-2.0452,14766.39,453711.26
300661.SZ,2020-08-21,308.42,312.66,305.03,309.0,303.66,5.34,1.7585,15008.75,462223.888
300661.SZ,2020-08-24,310.0,310.0,280.97,294.82,309.0,-14.18,-4.589,28477.2,832740.91
300661.SZ,2020-08-25,296.21,304.3,293.11,294.66,294.82,-0.16,-0.0543,18033.02,536949.738
300661.SZ,2020-08-26,293.5,293.77,280.88,283.34,294.66,-11.32,-3.8417,19511.57,560031.955
300661.SZ,2020-08-27,283.35,298.11,283.35,289.6,283.34,6.26,2.2094,20535.69,597047.376
300661.SZ,2020-08-28,290.0,295.9,288.0,292.17,289.6,2.57,0.8874,15176.27,442808.652
300661.SZ,2020-08-31,296.0,297.88,285.0,285.15,292.17,-7.02,-2.4027,18174.23,529725.203
300661.SZ,2020-09-01,285.0,286.93,280.0,284.0,285.15,-1.15,-0.4033,13321.71,377911.921
300661.SZ,2020-09-02,286.87,289.11,281.51,282.27,284.0,-1.73,-0.6092,11708.2,332657.556
300661.SZ,2020-09-03,282.27,307.4,280.29,288.8,282.27,6.53,2.3134,34398.11,1012326.809
300661.SZ,2020-09-04,286.01,309.06,286.01,296.0,288.8,7.2,2.4931,37553.34,1125167.291
300661.SZ,2020-09-07,296.01,299.19,267.0,268.01,296.0,-27.99,-9.4561,36906.83,1030210.02
300661.SZ,2020-09-08,269.01,278.88,265.02,274.0,268.01,5.99,2.235,20570.33,559023.518
300661.SZ,2020-09-09,270.0,281.98,263.0,275.0,274.0,1.0,0.365,19989.73,545209.209
300661.SZ,2020-09-10,277.1,282.35,271.97,271.99,275.0,-3.01,-1.0945,18766.61,520753.24
300661.SZ,2020-09-11,268.0,283.66,266.05,282.28,271.99,10.29,3.7832,23038.42,640106.479
300661.SZ,2020-09-14,284.76,288.88,280.9,284.8,282.28,2.52,0.8927,19873.96,566694.863
300661.SZ,2020-09-15,284.0,295.95,277.99,289.68,284.8,4.88,1.7135,21776.1,624648.492
300661.SZ,2020-09-16,286.4,292.9,285.3,287.94,289.68,-1.74,-0.6007,17546.47,506885.188
300661.SZ,2020-09-17,286.18,302.98,285.5,299.94,287.94,12.0,4.1675,27763.78,820760.824
300661.SZ,2020-09-18,298.16,308.96,296.86,302.5,299.94,2.56,0.8535,21493.78,649821.671
300661.SZ,2020-09-21,302.55,307.85,291.0,292.49,302.5,-10.01,-3.3091,19473.37,583533.614
300661.SZ,2020-09-22,290.87,302.88,289.0,292.11,292.49,-0.38,-0.1299,19013.75,562957.828
300661.SZ,2020-09-23,292.31,298.72,291.6,295.79,292.11,3.68,1.2598,14767.82,436270.135
300661.SZ,2020-09-24,292.47,299.99,292.0,293.4,295.79,-2.39,-0.808,12238.9,361957.45
300661.SZ,2020-09-25,296.7,297.2,282.88,284.21,293.4,-9.19,-3.1322,14329.14,413285.823
300661.SZ,2020-09-28,285.63,288.98,275.82,286.0,284.21,1.79,0.6298,12517.79,354720.508
300661.SZ,2020-09-29,286.0,288.8,278.02,285.15,286.0,-0.85,-0.2972,11909.28,338678.045
300661.SZ,2020-09-30,285.19,305.0,284.68,299.35,285.15,14.2,4.9798,20116.38,599179.317
300661.SZ,2020-10-09,302.1,308.12,300.01,307.7,299.35,8.35,2.7894,16130.36,491048.704
300661.SZ,2020-10-12,308.35,321.0,305.3,318.6,307.7,10.9,3.5424,19180.65,602128.993
300661.SZ,2020-10-13,286.1,304.99,261.66,275.0,318.6,-43.6,-13.6849,56258.81,1547922.805
300661.SZ,2020-10-14,266.33,267.99,252.02,254.63,275.0,-20.37,-7.4073,42426.67,1094584.805
